samples,mean_incremental_ev,standard_error,confidence_interval_95_low,confidence_interval_95_high,recommended_decision,player_cards_before_hit,pre_hit_total,pre_hit_soft,bust_card,busted_total,dealer_upcard,split_hand,doubled,double_available
1,-0.5,0.0,-0.5,-0.5,uncertain,10-2-2,14,False,10,24,9,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,10-2-2,14,False,8,22,9,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,10-2-2-2,16,False,10,26,8,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,10-2-2-2,16,False,10,26,9,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,10-2-2-2,16,False,10,26,A,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,10-2-2-2,16,False,6,22,9,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,10-2-2-A,15,False,10,25,7,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,10-2-3,15,False,7,22,A,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,10-2-3,15,False,8,23,8,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,10-2-3,15,False,8,23,9,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,10-2-3-A,16,False,10,26,A,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,10-2-4,16,False,6,22,7,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,10-2-4,16,False,7,23,8,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,10-2-4,16,False,7,23,9,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,10-2-4,16,False,7,23,A,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,10-2-4,16,False,8,24,9,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,10-2-4,16,False,9,25,9,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,10-2-A,13,False,10,23,A,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,10-2-A-2,15,False,10,25,8,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,10-2-A-2,15,False,7,22,7,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,10-2-A-2,15,False,7,22,9,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,10-2-A-3,16,False,10,26,10,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,10-2-A-3,16,False,10,26,7,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,10-2-A-3,16,False,7,23,A,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,10-2-A-A,14,False,10,24,8,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,10-2-A-A,14,False,9,23,9,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,10-3-2-A,16,False,6,22,9,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,10-3-2-A,16,False,6,22,A,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,10-3-3,16,False,6,22,8,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,10-3-3,16,False,7,23,7,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,10-3-3,16,False,7,23,9,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,10-3-3,16,False,9,25,7,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,10-3-3,16,False,9,25,8,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,10-3-A,14,False,8,22,9,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,10-3-A,14,False,9,23,7,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,10-3-A,14,False,9,23,8,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,10-3-A-A,15,False,10,25,10,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,10-3-A-A,15,False,8,23,7,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,10-3-A-A,15,False,8,23,8,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,10-3-A-A-A,16,False,6,22,10,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,10-4-2,16,False,6,22,10,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,10-4-2,16,False,7,23,9,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,10-4-2,16,False,7,23,A,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,10-4-2,16,False,8,24,9,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,10-4-2,16,False,8,24,A,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,10-4-2,16,False,9,25,7,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,10-4-A,15,False,7,22,A,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,10-4-A,15,False,8,23,7,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,10-4-A-A,16,False,9,25,10,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,10-5-A,16,False,6,22,9,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,10-5-A,16,False,7,23,7,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,10-5-A,16,False,8,24,10,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,10-5-A,16,False,9,25,9,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,2-10-2,14,False,10,24,A,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,2-10-2,14,False,8,22,9,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,2-10-2,14,False,9,23,7,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,2-10-2-2,16,False,9,25,10,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,2-10-2-A,15,False,10,25,8,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,2-10-2-A,15,False,10,25,9,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,2-10-2-A,15,False,10,25,A,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,2-10-2-A,15,False,8,23,A,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,2-10-2-A-A,16,False,6,22,8,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,2-10-3,15,False,7,22,7,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,2-10-3,15,False,7,22,8,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,2-10-3,15,False,8,23,8,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,2-10-3,15,False,8,23,9,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,2-10-3-A,16,False,10,26,7,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,2-10-3-A,16,False,10,26,8,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,2-10-3-A,16,False,6,22,A,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,2-10-3-A,16,False,7,23,10,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,2-10-3-A,16,False,8,24,A,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,2-10-4,16,False,10,26,7,True,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,2-10-4,16,False,6,22,7,True,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,2-10-4,16,False,6,22,9,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,2-10-4,16,False,6,22,A,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,2-10-4,16,False,7,23,8,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,2-10-4,16,False,8,24,9,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,2-10-4,16,False,9,25,10,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,2-10-4,16,False,9,25,8,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,2-10-4,16,False,9,25,A,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,2-10-A-2,15,False,10,25,A,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,2-10-A-3,16,False,10,26,8,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,2-10-A-3,16,False,7,23,10,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,2-10-A-A,14,False,10,24,9,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,2-10-A-A,14,False,9,23,9,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,2-2-10,14,False,9,23,8,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,2-2-10,14,False,9,23,9,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,2-2-10-2,16,False,10,26,A,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,2-2-10-A,15,False,10,25,A,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,2-2-10-A,15,False,9,24,10,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,2-2-2-10,16,False,10,26,10,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,2-2-2-10,16,False,7,23,9,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,2-2-2-6,12,False,10,22,A,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,2-2-2-7,13,False,10,23,10,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,2-2-2-8,14,False,10,24,10,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,2-2-3-8,15,False,9,24,10,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,2-2-3-9,16,False,8,24,10,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,2-2-4-4,12,False,10,22,9,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,2-2-5-3-A-A,14,False,10,24,A,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,2-2-5-5,14,False,10,24,A,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,2-2-5-6,15,False,10,25,10,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,2-2-5-6,15,False,7,22,10,False,False,False
